Year,data.Skill,data.Sex,Value
2015,ARSP,,55.67186
2015,ARSP,data.Male,49.3953
2015,ARSP,data.Female,61.84353
2015,EMAIL,,60.809
2015,EMAIL,data.Female,55.0189
2015,EMAIL,data.Male,66.50234
2015,INST,,38.89033
2015,INST,data.Female,31.2614
2015,INST,data.Male,46.39177
2015,PCPR,,4.79118
2015,PCPR,data.Female,2.95221
2015,PCPR,data.Male,6.59941
2015,SOFT,,48.73657
2015,SOFT,data.Female,41.27835
2015,SOFT,data.Male,56.07015
2015,TRAF,,47.78333
2015,TRAF,data.Female,41.50175
2015,TRAF,data.Male,53.95992
2016,ARSP,,60.60621
2016,ARSP,data.Female,54.99273
2016,ARSP,data.Male,66.12964
2016,EMAIL,,64.58916
2016,EMAIL,data.Female,58.65253
2016,EMAIL,data.Male,70.43056
2016,INST,,43.6091
2016,INST,data.Female,35.70192
2016,INST,data.Male,51.38943
2016,PCPR,,4.36763
2016,PCPR,data.Female,2.64651
2016,PCPR,data.Male,6.06115
2016,SOFT,,56.18882
2016,SOFT,data.Female,49.32573
2016,SOFT,data.Male,62.94182
2016,TRAF,,51.39956
2016,TRAF,data.Female,44.7866
2016,TRAF,data.Male,57.90644
2017,ARSP,,43.57606
2017,ARSP,data.Female,35.47301
2017,ARSP,data.Male,51.65622
2017,CMFL,,74.78145
2017,CMFL,data.Female,76.44805
2017,CMFL,data.Male,84.12011
2017,COPA,,61.82875
2017,COPA,data.Female,55.6934
2017,COPA,data.Male,68.63182
2017,EMAIL,,57.4379
2017,EMAIL,data.Female,51.36743
2017,EMAIL,data.Male,63.83655
2017,EPRS,,35.85351
2017,EPRS,data.Female,29.20505
2017,EPRS,data.Male,42.48057
2017,INST,,53.50068
2017,INST,data.Female,46.99777
2017,INST,data.Male,60.85703
2017,PCPR,,4.8959
2017,PCPR,data.Female,3.05081
2017,PCPR,data.Male,6.70973
2017,SOFT,,51.00982
2017,SOFT,data.Female,43.93124
2017,SOFT,data.Male,58.17534
2017,TRAF,,48.41656
2017,TRAF,data.Female,42.84918
2017,TRAF,data.Male,54.91568
2018,ARSP,,43.13112
2018,CMFL,,83.69524 
2018,COPA,,78.82953
2018,EMAIL,,68.05023
2018,EPRS,,36.90453 
2018,INST,,52.5258
2018,PCPR,,5.56063
2018,SOFT,,51.03273
2018,TRAF,,50.31892
2018,ARSP,data.Female,36.89694
2018,CMFL,data.Female,79.62462
2018,COPA,data.Female,73.64888 
2018,EMAIL,data.Female,61.79355
2018,EPRS,data.Female,31.11119 
2018,INST,data.Female,46.22081 
2018,PCPR,data.Female,3.8747
2018,SOFT,data.Female,44.70496
2018,TRAF,data.Female,44.68703
2018,ARSP,data.Male,49.14736 
2018,CMFL,data.Male,87.62356 
2018,COPA,data.Male,83.82907
2018,EMAIL,data.Male,74.08818 
2018,EPRS,data.Male,42.49533
2018,INST,data.Male,58.61038
2018,PCPR,data.Male,7.18762
2018,SOFT,data.Male,57.13929
2018,TRAF,data.Male,55.75393
2019,ARSP,,44.42991
2019,CMFL,,84.9461
2019,COPA,,76.65041
2019,EMAIL,,74.54152
2019,EPRS,,38.69654
2019,INST,,53.96132
2019,PCPR,,53.96132
2019,SOFT,,52.50412
2019,TRAF,,51.09691
2019,ARSP,data.Female,39.79881
2019,COPA,data.Female,82.5829
2019,EMAIL,data.Female,72.55587
2019,EPRS,data.Female,33.68059
2019,INST,data.Female,49.90405
2019,PCPR,data.Female,4.48476
2019,SOFT,data.Female,55.96858 
2019,TRAF,data.Female,52.21361
2019,ARSP,data.Male,51.44065
2019,COPA,data.Male,87.28434
2019,EMAIL,data.Male,80.94205 
2019,EPRS,data.Male,44.76779
2019,INST,data.Male,61.27377 
2019,PCPR,data.Male,7.72854 
2019,SOFT,data.Male,66.42797 
2019,TRAF,data.Male,62.69805
2020,ARSP,,49.67028
2020,CMFL,,79.50682
2020,COPA,,80.16304
2020,EMAIL,,73.70576
2020,EPRS,,42.01614
2020,INST,,57.37828
2020,PCPR,,7.0461
2020,SOFT,,54.22074
2020,TRAF,,56.12567
2020,ARSP,data.Female,44.84588
2020,COPA,data.Female,76.67842
2020,EMAIL,data.Female,69.78239
2020,EPRS,data.Female,36.36079
2020,INST,data.Female,52.44113
2020,PCPR,data.Female,5.5791
2020,SOFT,data.Female,48.49577
2020,TRAF,data.Female,50.63021
2020,ARSP,data.Male,54.32733
2020,COPA,data.Male,83.52677
2020,EMAIL,data.Male,77.49303
2020,EPRS,data.Male,47.4753
2020,INST,data.Male,62.14417
2020,PCPR,data.Male,8.46221
2020,SOFT,data.Male,59.74711
2020,TRAF,data.Male,61.43049
2021,ARSP,,53.73528
2021,COPA,,97.28081
2021,EMAIL,,92.4157
2021,EPRS,,46.60298
2021,INST,,76.0702
2021,PCPR,,10.2595
2021,SOFT,,83.61901
2021,TRAF,,73.32335
2021,ARSP,data.Female,47.96951
2021,COPA,data.Female,96.56968
2021,EMAIL,data.Female,91.17671
2021,EPRS,data.Female,41.22932
2021,INST,data.Female,75.05724
2021,PCPR,data.Female,8.56546
2021,SOFT,data.Female,82.85734
2021,TRAF,data.Female,71.37065
2021,ARSP,data.Male,59.30255
2021,COPA,data.Male,97.96747
2021,EMAIL,data.Male,93.61204
2021,EPRS,data.Male,51.79163
2021,INST,data.Male,77.04829
2021,PCPR,data.Male,11.89521
2021,SOFT,data.Male,84.35446
2021,TRAF,data.Male,75.20882
